open_price,close_price,return,order_type,amount,adx,rsi,ema_24_100_diff,support_trendline_slope,resist_trendline_slope,ema50_slope,atr
3180.56,3149.4199999999996,-0.009790728676711123,buy,3.1441004099906937,23.825879268739122,29.165887598095004,-15.832912424289134,0.015635896400063288,-0.012154804639568874,-0.9639043735401174,45.9699999999998
3031.17,3002.14,0.009577159974531353,sell,3.266755976481982,20.279692495642152,54.56497418003566,-18.759213790177,0.015630290164651856,-0.012153099456658904,0.22417408475121192,62.5600000000004
2983.03,2995.9,-0.004314405151808694,sell,3.3512658737022964,27.1945747175862,60.78870747696751,-1.7865392557841915,0.01563434110334613,-0.012156359936286032,0.5708762652648147,31.61999999999989
3080.44,2993.34,-0.028275181467582525,buy,3.2312902856201102,40.79456547561722,51.34728252811709,-22.95701976414921,0.015635548126844017,-0.012155152912788144,-0.3434997152744472,27.980000000000018
3004.18,3055.13,0.01695970281407914,buy,3.219630802268207,13.808981057942372,53.264703503400746,4.822533966767878,0.015633394165385634,-0.012157306874246526,0.11674015689550288,16.090000000000146
3102.68,3109.19,0.002098186084288492,buy,3.170288477359466,14.941144570203607,50.25548997859719,-3.375737664949156,0.015632505355756464,-0.012158195683875696,-0.11375744362158002,15.220000000000255
3110.95,3084.26,-0.008579372860380142,buy,3.168494906996666,13.946830705807974,28.192656665932187,-3.1045258732870025,0.01563144496146628,-0.01215925607816588,-0.6196163400491059,33.059999999999945
3023.79,3014.33,0.0031285241369275103,sell,3.2318587275748443,25.211759416738076,61.99492850063348,-21.32417918579904,0.015635863796866534,-0.010456564834386181,0.28622686751623405,33.779999999999745
3031.15,3002.4999999999995,-0.009451858205631707,buy,3.2340977798579402,21.95863054401838,32.40480120147828,-7.653328083657016,0.015632785304676003,0.005455620463977763,-0.8356461338116787,30.550000000000182
3035.59,3044.25,0.0028528226802696853,buy,3.198843909758388,16.217240972375766,56.175044259394625,2.242096475679773,0.015632320916788695,0.004774521047675196,0.16619541253112402,11.83999999999969
3047.21,3068.98,-0.007144240140981416,sell,3.1957366155538907,59.34048675400123,87.79636421175027,7.163891833065463,0.01563481823218575,0.00561499630225411,1.3851671659735985,47.1899999999996
3034.61,3045.54,0.0036017807889645904,buy,3.1860797223239112,27.55701211156846,61.4702388881183,-0.773413316469032,0.01563143417905632,0.007275597014071511,0.20544267923924053,18.7199999999998
3059.78,3006.6600000000003,-0.01736072528090251,buy,3.171251932337084,29.55011246160765,25.214675687429665,-4.4025245114003155,0.01563189732273633,0.007276060157751518,-1.3580846269787799,70.98000000000002
2907.41,2908.1900000000005,0.0002682800155467082,buy,3.2795086812250833,26.88823812548731,32.877193335931565,-3.1839187409314036,0.015634274035728854,0.0072724513140356,-0.7159539626854894,30.799999999999727
3065.78,3043.57,-0.007244485905707531,buy,3.1109324059952037,10.314359369705317,51.8480022417733,1.9036499270364402,0.015636009748407037,0.007274187026713784,0.031371730766295514,13.340000000000146
3052.14,3088.3499999999995,-0.01186380703375323,sell,3.1021973247999184,35.48515347023839,73.01339297142444,11.797432292260964,0.015634897755912716,0.007273075034219465,1.1447064359299475,41.40000000000009
3114.89,3113.99,-0.0002889347617412143,buy,3.0036405708656866,38.49351349722873,59.544004029939195,32.242023320472526,0.01563406555794684,0.007272242836253587,0.8270726608716359,23.429999999999836
3096.93,3085.31,0.0037521028889900294,sell,3.020186669143326,9.960522373372926,49.313302195467706,-4.615551403614063,0.015632225471522945,0.007276388306538134,-0.10928269064334017,10.430000000000291
3083.57,3112.89,-0.009508459350687582,sell,3.044653200791772,26.069894461498063,66.04720054897965,4.969985128235294,0.015633595732207742,0.0072717730105144925,0.6717749283948251,20.699999999999818
3149.95,3104.79,-0.01433673550373811,buy,2.952152268613238,38.613224707159205,31.700514384664558,20.203560019577708,0.015633151960996673,0.007277314796011863,-0.6796601326946075,61.539999999999964
3094.08,3101.4500000000003,-0.0023819681456201344,sell,2.96237099301495,24.065145753661778,71.85358794546367,0.49491647367949554,0.01563137851276285,0.00727554134777804,0.6406307032739278,31.61999999999989
3103.7,3107.42,0.0011985694493669668,buy,2.946154643763629,28.976062541603866,20.97523851932679,6.529226058706172,0.015635905423199852,0.007274082701506598,-1.4688666994593405,51.44999999999982
3000.13,3015.94,-0.005269771643228775,sell,3.051514388751146,18.454216043309437,58.75212752515187,0.91383668440767,0.015632345259219083,0.007276508094234275,0.34399416051473963,15.420000000000073
3003.0,2955.5399999999995,-0.015804195804195967,buy,3.032532607605002,13.581888170464607,32.9722889835073,-17.67956443977755,0.015631085018134976,0.007275247853150165,-1.3162941653881717,36.909999999999854
2970.96,2939.2900000000004,-0.010659854053908372,buy,3.016793030899402,19.399414882891605,37.77615180633693,-5.889123671612651,0.015633158505115406,0.007289292453547482,-0.501739005815125,24.210000000000036
2952.8,2959.74,-0.0023503115686804386,sell,3.0029902424113737,17.01168848950061,50.304370236263104,2.9577184255235807,0.0156338520898207,0.007289986038252772,0.09329391516666874,16.159999999999854
2967.62,2927.7499999999995,-0.013435008525350397,buy,2.9809708909867068,34.211047743614415,21.344798055609086,-3.760463706566952,0.015633747542514863,0.009043649606520395,-0.8624691056211304,44.18000000000029
2941.91,2958.33,-0.005581407996845611,sell,2.9666228831223016,33.74115912532142,70.0641999157985,-0.1271019007022005,0.0156311878300252,0.009041089894030734,0.5363254627177412,29.98999999999978
2953.17,2948.22,0.0016761649346296599,sell,2.9388167895330986,28.596357516268554,61.839751703550384,-5.728582955781803,0.01563382022655498,0.009043722290560514,0.46820906472885326,44.909999999999854
